source,target,somop_id,tomop_id,scode,slabel,tcode,tlabel,category,mapping type,source_visit,target_visit,source_type,source_unit,source_data_type,target_type,target_unit,target_data_type,transformation_rule
hepatomegaly,epamega,197676,197676,snomed:80515008,large liver,snomed:80515008,large liver,observation,exact match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,int,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
diabetes,prediab,201820,201820,snomed:73211009,diabetes mellitus,snomed:73211009,diabetes mellitus,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,int,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
afib_bl,flutter,313217,313217,snomed:49436004,atrial fibrillation,snomed:49436004,atrial fibrillation,measurement,exact match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,str,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
afib_12,f6_flutter,313217,313217,snomed:49436004,atrial fibrillation,snomed:49436004,atrial fibrillation,measurement,exact match,follow-up 1 year,follow-up 1 year,binary_class_variable,,int,binary_class_variable,,int,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
afib_18,f7_flutter,313217,313217,snomed:49436004,atrial fibrillation,snomed:49436004,atrial fibrillation,measurement,exact match,follow-up 18 months,follow-up 18 months,binary_class_variable,,int,binary_class_variable,,int,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
bundeltakblok,latobb,313791,313791,snomed:6374002,bundle branch block,snomed:6374002,bundle branch block,measurement,exact match,baseline time,baseline time,multi_class_variable,,int,binary_class_variable,,int,"For harmonization, convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question"
bundeltakblok,bbranca,313791,313791,snomed:6374002,bundle branch block,snomed:6374002,bundle branch block,measurement,exact match,baseline time,baseline time,multi_class_variable,,int,binary_class_variable,,str,"For harmonization, convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question"
bundeltakblok_18,f7_latobb,313791,313791,snomed:6374002,bundle branch block,snomed:6374002,bundle branch block,measurement,exact match,follow-up 18 months,follow-up 18 months,multi_class_variable,,int,binary_class_variable,,int,"For harmonization, convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question"
bundeltakblok_18,f7_bbranca,313791,313791,snomed:6374002,bundle branch block,snomed:6374002,bundle branch block,measurement,exact match,follow-up 18 months,follow-up 18 months,multi_class_variable,,int,binary_class_variable,,int,"For harmonization, convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question"
bundeltakblok_12,f6_bbranca,313791,313791,snomed:6374002,bundle branch block,snomed:6374002,bundle branch block,measurement,exact match,follow-up 1 year,follow-up 1 year,multi_class_variable,,int,binary_class_variable,,int,"For harmonization, convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question"
