E10: E10-E14, IV
E11: E10-E14, IV
E12: E10-E14, IV
E13: E10-E14, IV
E14: E10-E14, IV
I00: I00-I02, IX
I01: I00-I02, IX
I02: I00-I02, IX
I05: I05-I09, IX
I06: I05-I09, IX
I07: I05-I09, IX
I08: I05-I09, IX
I09: I05-I09, IX
I10: I10-I15, IX
I11: I10-I15, IX
I12: I10-I15, IX
I13: I10-I15, IX
I15: I10-I15, IX
I20: I20-I25, IX
I21: I20-I25, IX
I22: I20-I25, IX
I23: I20-I25, IX
I24: I20-I25, IX
I25: I20-I25, IX
I26: I26-I28, IX
I27: I26-I28, IX
I28: I26-I28, IX
I30: I30-I52, IX
I31: I30-I52, IX
I32: I30-I52, IX
I33: I30-I52, IX
I34: I30-I52, IX
I35: I30-I52, IX
I36: I30-I52, IX
I37: I30-I52, IX
I38: I30-I52, IX
I39: I30-I52, IX
I40: I30-I52, IX
I41: I30-I52, IX
I42: I30-I52, IX
I43: I30-I52, IX
I44: I30-I52, IX
I45: I30-I52, IX
I46: I30-I52, IX
I47: I30-I52, IX
I48: I30-I52, IX
I49: I30-I52, IX
I50: I30-I52, IX
I51: I30-I52, IX
I52: I30-I52, IX
I60: I60-I69, IX
I61: I60-I69, IX
I62: I60-I69, IX
I63: I60-I69, IX
I64: I60-I69, IX
I65: I60-I69, IX
I66: I60-I69, IX
I67: I60-I69, IX
I68: I60-I69, IX
I69: I60-I69, IX
I70: I70-I79, IX
I71: I70-I79, IX
I72: I70-I79, IX
I73: I70-I79, IX
I74: I70-I79, IX
I77: I70-I79, IX
I78: I70-I79, IX
I79: I70-I79, IX
I80: I80-I89, IX
I81: I80-I89, IX
I82: I80-I89, IX
I83: I80-I89, IX
I85: I80-I89, IX
I86: I80-I89, IX
I87: I80-I89, IX
I88: I80-I89, IX
I89: I80-I89, IX
I95: I95-I99, IX
I97: I95-I99, IX
I98: I95-I99, IX
I99: I95-I99, IX
